SCHOOL_ID,ABSENCES_FIVE_OR_FEWER_PERCENT_ALL,ABSENCES_SIX_TO_FIFTEEN_PERCENT_ALL,ABSENCES_OVER_15_PERCENT_ALL,ABSENCES_CHRONIC_ABSENT_PERC_ALL,DROPOUT_7-12 Drop Outs -ALL Students,DROPOUT_7-12 Drop Outs -American Indian/Alaskan,DROPOUT_7-12 Drop Outs -Asian/Pacific Islander,DROPOUT_7-12 Drop Outs -Black,DROPOUT_7-12 Drop Outs -Economically Disadvantaged,DROPOUT_7-12 Drop Outs -Female,DROPOUT_7-12 Drop Outs -Hispanic,DROPOUT_7-12 Drop Outs -Male,DROPOUT_7-12 Drop Outs -Multi-Racial,DROPOUT_7-12 Drop Outs -Not Economically Disadvantaged,DROPOUT_7-12 Drop Outs -Students With Disability,DROPOUT_7-12 Drop Outs -Students Without Disability,DROPOUT_7-12 Drop Outs -White,CERTIFICATIONS_Positions_Average Annual Salary_Administrators,CERTIFICATIONS_Positions_Average Annual Salary_PK-12 Teachers,CERTIFICATIONS_Positions_Average Annual Salary_Support Personnel,CERTIFICATIONS_Positions_Average Contract Days_Administrators,CERTIFICATIONS_Positions_Average Contract Days_PK-12 Teachers,CERTIFICATIONS_Positions_Average Contract Days_Support Personnel,CERTIFICATIONS_Positions_Average Daily Salary_Administrators,CERTIFICATIONS_Positions_Average Daily Salary_PK-12 Teachers,CERTIFICATIONS_Positions_Average Daily Salary_Support Personnel,CERTIFICATIONS_Years Experience_Average_Administrators,CERTIFICATIONS_Years Experience_Average_PK-12 Teachers,CERTIFICATIONS_Years Experience_Average_Support Personnel,POVERTY_direct_cert_perc,INEXPERIENCED_Leaders,INEXPERIENCED_Teachers,WAIVED_Teachers,OUT_OF_FIELD_Teachers,GAA_ADEQUATE_PERCENT All Students English Language Arts,GAA_ADEQUATE_PERCENT All Students Mathematics,GAA_ADEQUATE_PERCENT All Students Science,GAA_ADEQUATE_PERCENT All Students Social Studies,GAA_LIMITED_PERCENT All Students English Language Arts,GAA_LIMITED_PERCENT All Students Mathematics,GAA_LIMITED_PERCENT All Students Science,GAA_LIMITED_PERCENT All Students Social Studies,GAA_PARTIAL_PERCENT All Students English Language Arts,GAA_PARTIAL_PERCENT All Students Mathematics,GAA_PARTIAL_PERCENT All Students Science,GAA_PARTIAL_PERCENT All Students Social Studies,GAA_THOROUGH_PERCENT All Students English Language Arts,GAA_THOROUGH_PERCENT All Students Mathematics,GAA_THOROUGH_PERCENT All Students Science,GAA_THOROUGH_PERCENT All Students Social Studies,LEXILE_LEXILE_MID_PERCENT,REVENUE_K-12 Expenditures Debt Services,REVENUE_K-12 Expenditures General Administration,REVENUE_K-12 Expenditures Instruction,REVENUE_K-12 Expenditures Instructional Support,REVENUE_K-12 Expenditures Maintenance and Operations,REVENUE_K-12 Expenditures Media,REVENUE_K-12 Expenditures Pupil Services,REVENUE_K-12 Expenditures Renovation and Capital Projects,REVENUE_K-12 Expenditures School Administration,REVENUE_K-12 Expenditures School food Services,REVENUE_K-12 Expenditures Transportation,INSTN_NAME
6010103,25.4,39.6,35.0,34.2,1.8,,,,1.8,,,2.7,,,,1.6,2.5,98566.67,60800.76,72613.7,220.48,192.01,193.49,447.06,316.65,375.29,29.83,13.82,18.7,28.20000076,20.0,37.0,19.0,10.0,,,,,,,,,,,,,,,,,0.532520325203252,0.0,0.0,6079.36,198.28,515.4,119.32,470.13,0.0,566.66,0.0,1.84,Appling County High School
6050189,44.4,30.5,25.1,23.2,3.0,,,3.0,3.0,2.9,,3.1,,,,3.0,,92982.11,56513.93,70537.57,194.44,191.07,193.16,478.19,295.77,365.18,24.2,12.8,23.14,39.09999847,29.0,51.0,,19.0,,,,,,,,,,,,,,,,,0.4383561643835616,0.0,0.0,4795.21,64.81,329.36,125.84,410.59,0.0,724.85,0.0,0.0,Baldwin High School
6060199,27.7,37.4,34.9,36.1,2.4,,,,3.4,,,2.7,,,,2.1,2.7,79188.32,61917.97,72729.98,201.5,199.16,200.27,393.0,310.9,363.16,19.5,13.55,23.0,16.39999962,100.0,28.0,10.0,,,,,,,,,,,,,,,,,,0.5580357142857143,0.0,0.0,6614.65,52.32,66.57,171.07,290.79,0.0,601.47,0.0,0.0,Banks County High School
6070101,13.9,33.6,52.5,50.5,2.0,,,,,1.9,,2.1,,3.8,4.2,1.6,2.5,84792.64,52734.16,61664.69,190.0,190.59,190.0,446.28,276.69,324.55,21.4,12.47,14.0,16.20000076,23.0,36.0,,,,,,,,,,,,,,,,,,,0.4772277227722772,0.0,0.67,5349.51,109.71,265.79,75.26,279.58,0.0,484.53,0.0,0.43,Apalachee High School
6070289,16.2,39.4,44.4,42.7,1.5,,,,,,,,,3.1,,,,75666.95,49718.98,61783.49,190.0,190.0,190.0,398.25,261.68,325.18,26.33,10.14,19.17,22.39999962,39.0,44.0,,,53.8,30.8,,,15.4,15.4,,,7.7,23.1,,,23.1,30.8,,,,0.0,6.07,5876.38,80.32,304.5,170.04,211.91,0.0,547.38,0.0,0.0,Russell Middle School
6073052,20.8,35.5,43.6,42.7,2.0,,,,,1.7,2.2,2.3,,3.8,,2.1,2.0,81009.78,52758.82,59484.11,190.0,190.54,190.0,426.37,276.89,313.07,21.8,11.41,14.0,16.70000076,69.0,45.0,11.0,,,,,,,,,,,,,,,,,,0.525879917184265,0.0,0.0,5964.21,83.69,279.42,79.37,307.13,0.0,540.22,0.0,0.41,Winder-Barrow High School
6080114,30.4,36.6,33.0,29.9,2.7,,,4.3,2.6,2.2,,3.1,,2.7,,2.4,2.5,88615.2,63288.56,64832.79,215.67,191.72,195.45,410.89,330.11,331.71,18.17,15.21,15.88,20.10000038,42.0,43.0,,,,,,,,,,,,,,,,,,,0.5014925373134328,0.0,0.0,5977.63,0.0,566.9,72.75,184.93,0.0,527.64,0.0,10.68,Cass High School
6080198,15.3,33.1,51.7,48.2,0.7,,,,,,,,,,,,,92171.25,62657.67,71647.97,211.6,191.4,194.48,435.59,327.37,368.41,20.6,13.86,21.71,18.20000076,75.0,47.0,,,41.7,40.0,25.0,41.7,16.7,0.0,16.7,8.3,33.3,60.0,50.0,41.7,8.3,0.0,8.3,8.3,0.4927536231884058,0.0,0.0,5925.83,0.0,511.62,83.9,223.28,0.0,549.4,0.0,12.26,Woodland High School
6090392,12.2,22.2,65.6,85.6,27.8,,,,27.8,31.9,,23.3,,,,25.0,36.7,88481.58,38107.55,62005.99,190.0,188.64,197.42,465.69,202.02,314.08,28.0,29.0,21.0,40.40000153,100.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2641.9,0.0,0.0,0.0,34.98,0.0,2008.73,0.0,0.0,Hurricane Transition Academy
6100101,19.5,38.6,41.9,35.1,3.2,,,,4.9,,,4.8,,2.1,,2.9,3.1,76637.94,56873.22,56613.57,225.34,193.13,201.07,340.1,294.47,281.57,28.2,14.11,13.86,23.29999924,,36.0,,,,,,,,,,,,,,,,,,,0.5324074074074074,0.0,0.0,6601.17,384.27,0.0,134.2,262.18,0.0,428.58,0.0,0.0,Berrien High School
6110105,28.9,38.3,32.8,35.8,4.6,,,4.2,4.6,4.2,,4.9,,,6.8,4.2,6.9,87576.0,61657.32,69095.29,210.0,191.71,196.43,417.03,321.62,351.76,16.75,14.14,15.29,32.09999847,67.0,48.0,,17.0,22.2,38.9,44.4,22.2,5.6,5.6,5.6,0.0,55.6,55.6,50.0,72.2,16.7,0.0,0.0,5.6,0.4007936507936508,0.0,0.0,6067.22,22.53,321.84,148.22,229.85,0.0,600.66,0.0,0.0,Howard High School
6110186,35.4,32.9,31.8,34.0,1.3,,,1.3,1.3,,,,,,,1.2,,101318.67,58135.03,70518.63,208.33,194.7,195.31,486.33,298.58,361.05,19.67,10.48,15.56,43.40000153,67.0,36.0,15.0,30.0,,,,,,,,,,,,,,,,,0.4410480349344978,0.0,0.0,6331.76,30.94,639.54,204.74,268.78,0.0,947.46,0.0,0.0,Central High School
6110198,26.1,33.4,40.5,43.2,3.1,,,2.7,3.1,2.4,,4.0,,,,2.9,,98010.67,57142.72,60728.2,208.33,193.14,194.5,470.45,295.86,312.23,22.0,10.33,10.9,48.20000076,33.0,49.0,14.0,36.0,,,,,,,,,,,,,,,,,0.2645739910313901,0.0,0.0,5025.81,19.49,614.61,96.6,254.17,0.0,699.29,0.0,0.0,Westside High School
6110204,39.5,34.5,26.0,28.7,4.5,,,5.0,4.5,4.7,,4.3,,,,4.1,4.9,84270.25,62602.73,63668.63,212.5,194.39,196.88,396.57,322.06,323.4,13.5,14.46,11.88,28.20000076,33.0,36.0,,12.0,,,,,,,,,,,,,,,,,0.35353535353535354,0.0,0.0,6132.38,35.45,604.62,90.0,212.42,0.0,813.6,0.0,0.0,Rutland High School
6110205,32.1,39.2,28.8,31.7,2.1,,,,2.1,3.3,,,,,,2.2,,86990.0,50100.18,63829.37,202.5,188.39,190.53,429.58,265.94,335.02,25.75,6.79,13.63,43.70000076,75.0,79.0,15.0,16.0,42.9,60.7,,,0.0,3.6,,,25.0,32.1,,,32.1,3.6,,,,0.0,0.0,5364.22,1.23,458.63,127.47,39.03,0.0,663.65,0.0,0.0,Howard Middle School
6110286,22.1,30.4,47.4,47.8,3.1,,,2.9,3.1,3.4,,2.9,,,,2.6,,91195.33,58638.58,76498.14,208.33,193.04,197.86,437.74,303.77,386.63,16.33,11.28,23.14,51.0,33.0,49.0,18.0,39.0,,,,,,,,,,,,,,,,,0.21637426900584794,0.0,0.0,5617.39,41.3,896.51,208.77,406.26,0.0,954.87,0.0,0.0,Northeast High School
6110298,40.7,37.9,21.4,24.5,2.6,,,,2.6,,,,,,,,,92911.33,52675.86,63206.68,205.0,188.41,189.88,453.23,279.58,332.87,19.33,9.58,18.75,48.79999924,100.0,62.0,,26.0,36.4,36.4,,,0.0,0.0,,,36.4,54.5,,,27.3,9.1,,,,0.0,0.0,6568.43,2.23,592.09,270.35,49.81,0.0,1069.94,0.0,0.0,Miller Magnet Middle School
6110386,16.6,28.6,54.9,55.0,3.6,,,3.8,3.6,3.4,,3.7,,,,3.8,,98399.67,58026.95,75939.43,208.33,191.37,196.43,472.32,303.22,386.6,21.67,9.42,21.29,56.0,67.0,51.0,11.0,24.0,,,,,,,,,,,,,,,,,0.2085889570552147,0.0,0.0,6279.19,60.68,761.23,219.13,276.29,0.0,1045.89,0.0,0.0,Southwest High School
6110505,38.8,37.7,23.5,24.0,2.3,,,2.3,2.3,,,2.5,,,,,,90685.67,52917.85,67011.5,205.0,190.05,192.5,442.37,278.44,348.11,15.33,8.63,14.63,57.20000076,67.0,63.0,,22.0,54.2,45.8,,,4.2,8.3,,,37.5,45.8,,,4.2,0.0,,,,0.0,0.0,5356.22,5.53,340.25,168.34,28.28,0.0,686.26,0.0,0.0,Weaver Middle School
6111311,100.0,0.0,0.0,0.0,6.4,,,6.2,,8.1,,,,6.4,,6.8,,121565.14,65368.0,73751.5,225.0,190.0,195.0,540.29,344.04,378.21,28.0,17.5,15.0,47.79999924,,50.0,,,,,,,,,,,,,,,,,,,0.35294117647058826,0.0,0.0,45.65,0.0,0.0,0.0,0.0,0.0,182.79,0.0,0.0,VIP Academy (Virtual)
6120115,30.0,35.8,34.2,52.5,9.3,,,,9.3,,,,,,,,,75780.54,60384.08,48320.87,201.59,190.0,194.44,375.91,317.81,248.51,20.33,19.33,12.0,46.20000076,100.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3695.49,36.89,100.66,0.0,4.25,0.0,2324.42,0.0,0.0,Bleckley County Success Academy
6150182,39.3,38.8,22.0,20.4,1.4,,,,2.7,1.5,,1.3,,1.1,,1.3,1.3,90757.74,61630.72,65481.48,212.0,190.5,199.3,428.1,323.52,328.56,18.1,13.32,11.82,6.0,50.0,42.0,,,,,,,,,,,,,,,,,,,0.7271293375394322,0.0,0.0,5782.54,114.94,539.28,85.97,238.12,0.0,573.71,0.0,37.21,Richmond Hill High School
