iter	Passed	Remaining
0	3	327
1	6	311
2	10	347
3	13	335
4	18	352
5	21	337
6	26	346
7	40	465
8	46	473
9	50	450
10	56	458
11	60	444
12	66	443
13	70	433
14	75	428
15	81	428
16	86	423
17	90	412
18	95	407
19	101	405
20	110	414
21	115	409
22	121	406
23	127	404
24	134	404
25	139	398
26	145	393
27	148	382
28	156	382
29	159	373
30	165	368
31	169	359
32	174	353
33	178	346
34	184	343
35	189	336
36	194	330
37	200	327
38	207	324
39	212	318
40	217	312
41	221	305
42	227	301
43	231	294
44	237	289
45	242	284
46	246	278
47	250	271
48	257	267
49	262	262
50	269	259
51	275	253
52	280	248
53	285	243
54	290	237
55	295	232
56	301	227
57	304	220
58	308	214
59	311	207
60	315	201
61	318	195
62	322	189
63	325	183
64	330	177
65	333	171
66	338	166
67	342	160
68	346	155
69	349	149
70	354	144
71	357	139
72	362	134
73	366	128
74	371	123
75	374	118
76	379	113
77	383	108
78	388	103
79	391	97
80	395	92
81	399	87
82	403	82
83	408	77
84	413	72
85	418	68
86	424	63
87	427	58
88	432	53
89	436	48
90	442	43
91	448	39
92	454	34
93	458	29
94	464	24
95	469	19
96	478	14
97	481	9
98	489	4
99	493	0
