iter	Logloss
0	0.6355642839
1	0.5765389031
2	0.5344561042
3	0.4980285135
4	0.4801236451
5	0.4516468243
6	0.4269225978
7	0.4035766382
8	0.38091626
9	0.3632028897
10	0.346546392
11	0.3299620487
12	0.316928801
13	0.3019324615
14	0.2934139985
15	0.2817711258
16	0.2683692003
17	0.26148404
18	0.252203173
19	0.2437645404
20	0.2358391504
21	0.2273811356
22	0.223664203
23	0.216176536
24	0.2053988386
25	0.2019498239
26	0.1971786627
27	0.1942174525
28	0.1912840868
29	0.1829357837
30	0.1801992155
31	0.1756488859
32	0.1701572891
33	0.1656120526
34	0.1639893121
35	0.1582128579
36	0.1523294789
37	0.1487303463
38	0.1459549699
39	0.1440605671
40	0.1391571252
41	0.13756691
42	0.1348110092
43	0.1316104633
44	0.1300113151
45	0.1269046981
46	0.1248041464
47	0.1226332457
48	0.118445736
49	0.116459202
50	0.1131520293
51	0.111071132
52	0.1083064936
53	0.1062597943
54	0.1038548086
55	0.1023897032
56	0.1001463003
57	0.09697629615
58	0.09508187924
59	0.09189609067
60	0.09021342
61	0.08796200513
62	0.08645793024
63	0.08447279538
64	0.08190304124
65	0.08007812434
66	0.07754996494
67	0.07590042947
68	0.07382808555
69	0.07227346326
70	0.06984679546
71	0.06845825994
72	0.06736314728
73	0.06614138157
74	0.0642958906
75	0.06227970356
76	0.06043152059
77	0.05909539531
78	0.05814596139
79	0.05632194071
80	0.05451200533
81	0.05434860127
82	0.05315935911
83	0.05195505373
84	0.05088029001
85	0.04995654021
86	0.04909813869
87	0.04803199954
88	0.04710585792
89	0.04592070573
90	0.04501188764
91	0.04425558606
92	0.04417529877
93	0.04300123735
94	0.04192237369
95	0.04047280832
96	0.03932994853
97	0.03833478407
98	0.03729105859
99	0.0364809189
