iter	Passed	Remaining
0	9	895
1	16	787
2	23	747
3	29	702
4	36	688
5	42	652
6	48	636
7	54	615
8	60	603
9	65	584
10	72	577
11	78	565
12	82	548
13	88	538
14	94	529
15	99	518
16	105	508
17	110	497
18	116	488
19	120	476
20	125	466
21	130	458
22	135	449
23	140	440
24	145	432
25	151	425
26	156	417
27	161	409
28	166	400
29	171	393
30	176	386
31	181	379
32	186	372
33	191	366
34	196	359
35	201	353
36	206	346
37	211	339
38	216	333
39	221	326
40	226	320
41	231	314
42	237	308
43	242	302
44	247	296
45	253	292
46	258	286
47	263	280
48	269	274
49	274	269
50	279	263
51	285	257
52	289	251
53	294	245
54	299	239
55	304	233
56	309	228
57	314	222
58	319	216
59	324	210
60	329	205
61	334	199
62	340	194
63	345	188
64	350	183
65	356	178
66	361	172
67	366	166
68	371	161
69	376	156
70	381	150
71	386	144
72	391	139
73	396	133
74	402	128
75	407	123
76	412	117
77	417	112
78	422	106
79	427	101
80	432	96
81	437	90
82	442	85
83	447	79
84	452	74
85	456	69
86	462	63
87	467	58
88	472	53
89	477	47
90	483	42
91	488	37
92	494	31
93	499	26
94	504	21
95	510	15
96	516	10
97	521	5
98	526	0
